#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/media/storage/Projects/CryptoStat-Research/ciphertext|  5.91e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.14321858|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.90253619|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.36025753|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.65434455|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.12328142|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.47147739|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.61936060|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.52756166|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.48716879|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.90265228|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.07848758|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.96828358|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.19895649|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.03541420|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.87288732|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.96758557|  PASSED  
             dab_dct| 256|     50000|       1|0.28915040|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.03890002|  PASSED  
        dab_filltree|  32|  15000000|       1|0.48217855|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.40474572|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.46786757|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.61739688|  PASSED  
